Order Date,Order ID,Quantity,Customer Name,Segment,Product Name,Category,Sub-Category,Manufacturer,City,State,Region,Ship Date,Ship Mode,Discount,Profit,Profit Ratio,Sales,PPU Before Discount,Profit Margin,Dispatch time,Shipping Cost,"c_name, city, state",High / Low / Loss
2015-01-03,CA-2015-100006,3,Dennis Kane,Consumer,AT&T EL51110 DECT,Technology,Phones,AT&T,New York City,New York,East,2015-01-06,Standard Class,0.00,110.00,0.29,378.00,126.00,0.29,3,10.09,Dennis KaneNew York City,High
2015-01-04,CA-2015-100090,6,Ed Braxton,Corporate,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Office Supplies,Binders,Wilson Jones,San Francisco,California,West,2015-01-09,Standard Class,0.20,69.00,0.35,197.00,41.04,0.35,5,10.99,Ed BraxtonSan Francisco,High
2015-01-04,CA-2015-100090,3,Ed Braxton,Corporate,Hon 2111 Invitation Series Corner Table,Furniture,Tables,Hon,San Francisco,California,West,2015-01-09,Standard Class,0.20,-88.00,-0.18,502.00,209.17,-0.18,5,10.99,Ed BraxtonSan Francisco,Loss
2015-01-04,CA-2015-100293,6,Neil Französisch,Home Office,Xerox 1887,Office Supplies,Paper,Xerox,Jacksonville,Florida,South,2015-01-07,Standard Class,0.20,32.00,0.35,91.00,18.96,0.35,3,14.61,Neil FranzösischJacksonville,Low
2015-01-05,CA-2015-100328,1,Jasper Cacioppo,Consumer,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,Pressboard,New York City,New York,East,2015-01-15,Standard Class,0.20,1.00,0.34,4.00,5.00,0.25,10,10.09,Jasper CacioppoNew York City,Low
2015-01-06,CA-2015-100363,2,Jim Mitchum,Corporate,Binder Clips by OIC,Office Supplies,Fasteners,OIC,Glendale,Arizona,West,2015-01-11,Standard Class,0.20,1.00,0.35,2.00,1.25,0.50,5,10.53,Jim MitchumGlendale,Low
2015-01-06,CA-2015-100363,3,Jim Mitchum,Corporate,Things To Do Today Spiral Book,Office Supplies,Paper,Things To Do,Glendale,Arizona,West,2015-01-11,Standard Class,0.20,7.00,0.36,19.00,7.92,0.37,5,10.53,Jim MitchumGlendale,Low
2015-01-06,CA-2015-100391,2,Barry Weirich,Consumer,Strathmore Photo Frame Cards,Office Supplies,Paper,Strathmore,New York City,New York,East,2015-01-09,Standard Class,0.00,7.00,0.46,15.00,7.50,0.47,3,10.09,Barry WeirichNew York City,Low
2015-01-06,CA-2015-100678,2,Kunst Miller,Consumer,Prang Dustless Chalk Sticks,Office Supplies,Art,Prang,Houston,Texas,Central,2015-01-13,Standard Class,0.20,1.00,0.38,3.00,1.88,0.33,7,11.99,Kunst MillerHouston,Low
2015-01-06,CA-2015-100678,3,Kunst Miller,Consumer,Cameo Buff Policy Envelopes,Office Supplies,Envelopes,Other,Houston,Texas,Central,2015-01-13,Standard Class,0.20,50.00,0.34,149.00,62.08,0.34,7,11.99,Kunst MillerHouston,High
2015-01-06,CA-2015-100678,3,Kunst Miller,Consumer,Kensington Expert Mouse Optical USB Trackball for PC or Mac,Technology,Accessories,Kensington,Houston,Texas,Central,2015-01-13,Standard Class,0.20,28.00,0.13,228.00,95.00,0.12,7,11.99,Kunst MillerHouston,High
2015-01-06,CA-2015-100678,3,Kunst Miller,Consumer,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Chairs,DMI,Houston,Texas,Central,2015-01-13,Standard Class,0.30,-18.00,-0.06,317.00,150.95,-0.06,7,11.99,Kunst MillerHouston,Loss
2015-01-06,CA-2015-100706,6,Laurel Elliston,Consumer,Ultra Door Push Plate,Furniture,Furnishings,Ultra,Springfield,Virginia,South,2015-01-16,Second Class,0.00,10.00,0.33,29.00,4.83,0.34,10,8.55,Laurel EllistonSpringfield,Low
2015-01-06,CA-2015-100706,2,Laurel Elliston,Consumer,Case Logic 2.4GHz Wireless Keyboard,Technology,Accessories,Other,Springfield,Virginia,South,2015-01-16,Second Class,0.00,8.00,0.08,100.00,50.00,0.08,10,8.55,Laurel EllistonSpringfield,Low
2015-01-07,CA-2015-100762,2,Nat Gilpin,Corporate,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Office Supplies,Paper,Adams,Jackson,Michigan,Central,2015-01-16,Standard Class,0.00,8.00,0.50,16.00,8.00,0.50,9,13.85,Nat GilpinJackson,Low
2015-01-07,CA-2015-100762,3,Nat Gilpin,Corporate,Xerox 1885,Office Supplies,Paper,Xerox,Jackson,Michigan,Central,2015-01-16,Standard Class,0.00,69.00,0.48,144.00,48.00,0.48,9,13.85,Nat GilpinJackson,High
2015-01-09,CA-2015-100762,4,Nat Gilpin,Corporate,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art,Hunt,Jackson,Michigan,Central,2015-01-16,Standard Class,0.00,46.00,0.30,152.00,38.00,0.30,7,13.85,Nat GilpinJackson,High
2015-01-09,CA-2015-100762,2,Nat Gilpin,Corporate,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Office Supplies,Labels,Other,Jackson,Michigan,Central,2015-01-16,Standard Class,0.00,96.00,0.49,197.00,98.50,0.49,7,13.85,Nat GilpinJackson,High
2015-01-10,CA-2015-100860,5,Cindy Stewart,Consumer,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,Office Supplies,Labels,Smead,Pomona,California,West,2015-01-15,Second Class,0.00,9.00,0.48,19.00,3.80,0.47,5,6.12,Cindy StewartPomona,Low
2015-01-10,CA-2015-100867,6,Eugene Hildebrand,Home Office,RCA Visys Integrated PBX 8-Line Router,Technology,Phones,RCA,Lakewood,California,West,2015-01-15,Standard Class,0.20,20.00,0.06,322.00,67.08,0.06,5,7.81,Eugene HildebrandLakewood,Low
2015-01-11,CA-2015-100881,3,Daniel Raglin,Home Office,AT&T TR1909W,Technology,Phones,AT&T,Albuquerque,New Mexico,West,2015-01-23,Standard Class,0.20,23.00,0.08,302.00,125.83,0.08,12,8.40,Daniel RaglinAlbuquerque,High
2015-01-13,CA-2015-100895,2,Stewart Visinsky,Consumer,"Sanford Colorific Scented Colored Pencils, 12/Pack",Office Supplies,Art,Sanford,Roswell,Georgia,South,2015-01-22,Standard Class,0.00,3.00,0.31,9.00,4.50,0.33,9,12.64,Stewart VisinskyRoswell,Low
2015-01-13,CA-2015-100895,3,Stewart Visinsky,Consumer,Mophie Juice Pack Helium for iPhone,Technology,Phones,Other,Roswell,Georgia,South,2015-01-22,Standard Class,0.00,67.00,0.28,240.00,80.00,0.28,9,12.64,Stewart VisinskyRoswell,High
2015-01-13,CA-2015-100895,2,Stewart Visinsky,Consumer,"Hot File 7-Pocket, Floor Stand",Office Supplies,Storage,Other,Roswell,Georgia,South,2015-01-22,Standard Class,0.00,107.00,0.30,357.00,178.50,0.30,9,12.64,Stewart VisinskyRoswell,High
2015-01-13,CA-2015-100916,1,Frank Hawley,Corporate,SANFORD Liquid Accent Tank-Style Highlighters,Office Supplies,Art,Sanford,Newport News,Virginia,South,2015-01-18,Standard Class,0.00,1.00,0.31,3.00,3.00,0.33,5,5.20,Frank HawleyNewport News,Low
2015-01-13,CA-2015-100916,5,Frank Hawley,Corporate,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,Eldon,Newport News,Virginia,South,2015-01-18,Standard Class,0.00,10.00,0.05,195.00,39.00,0.05,5,5.20,Frank HawleyNewport News,Low
